epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding.encoding.encoding,lr-Adam/geometry.encoding.encoding.encoding_time,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/loss_mask,train/loss_rgb,train/loss_sd_3d,train/loss_sds_video,train/max_step_3d,train/min_step_3d,train_params/lambda_3d_sd,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds_video,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
,0.001,0.0001,0.01,0.001,0,,,,,,,,,,,,,,,,,,,
0,,,,,0,368.60394287109375,,,,,67934.4375,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008573498576879501
,0.001,0.0001,0.01,0.001,1,,,,,,,,,,,,,,,,,,,
0,,,,,1,212.9217987060547,,,,,22667.84765625,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006163907703012228
,0.001,0.0001,0.01,0.001,2,,,,,,,,,,,,,,,,,,,
0,,,,,2,91.16827392578125,,,,,4155.8271484375,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0058278171345591545
,0.001,0.0001,0.01,0.001,3,,,,,,,,,,,,,,,,,,,
0,,,,,3,621.777099609375,,,,,193303.40625,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009553040377795696
,0.001,0.0001,0.01,0.001,4,,,,,,,,,,,,,,,,,,,
0,,,,,4,276.35198974609375,,,,,38185.21484375,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004966717679053545
,0.001,0.0001,0.01,0.001,5,,,,,,,,,,,,,,,,,,,
0,,,,,5,14.800830841064453,,,,,109.53230285644531,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00494734151288867
,0.001,0.0001,0.01,0.001,6,,,,,,,,,,,,,,,,,,,
0,,,,,6,359.5085754394531,,,,,64623.203125,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0062775565311312675
,0.001,0.0001,0.01,0.001,7,,,,,,,,,,,,,,,,,,,
0,,,,,7,471.8147277832031,,,,,111304.5625,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008199783973395824
,0.001,0.0001,0.01,0.001,8,,,,,,,,,,,,,,,,,,,
0,,,,,8,236.8359375,,,,,28045.630859375,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008976239711046219
,0.001,0.0001,0.01,0.001,9,,,,,,,,,,,,,,,,,,,
0,,,,,9,30.251251220703125,,,,,457.5690612792969,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005479620769619942
,0.001,0.0001,0.01,0.001,10,,,,,,,,,,,,,,,,,,,
