epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding.encoding.encoding,lr-Adam/geometry.encoding.encoding.encoding_time,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/loss_mask,train/loss_rgb,train/loss_sd_3d,train/loss_sds_video,train/max_step_3d,train/min_step_3d,train_params/lambda_3d_sd,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds_video,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
,0.001,0.0001,0.01,0.001,0,,,,,,,,,,,,,,,,,,,
0,,,,,0,225.44732666015625,,,,,25413.248046875,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006416398100554943
,0.001,0.0001,0.01,0.001,1,,,,,,,,,,,,,,,,,,,
0,,,,,1,322.7606506347656,,,,,52087.21875,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0056699709966778755
,0.001,0.0001,0.01,0.001,2,,,,,,,,,,,,,,,,,,,
0,,,,,2,91.07392883300781,,,,,4147.23046875,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004862411879003048
,0.001,0.0001,0.01,0.001,3,,,,,,,,,,,,,,,,,,,
0,,,,,3,417.256103515625,,,,,87051.328125,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008063366636633873
,0.001,0.0001,0.01,0.001,4,,,,,,,,,,,,,,,,,,,
0,,,,,4,426.5221252441406,,,,,90960.5625,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004377192351967096
,0.001,0.0001,0.01,0.001,5,,,,,,,,,,,,,,,,,,,
0,,,,,5,12.74191951751709,,,,,81.1782455444336,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004487704485654831
,0.001,0.0001,0.01,0.001,6,,,,,,,,,,,,,,,,,,,
0,,,,,6,154.56069946289062,,,,,11944.505859375,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00510402861982584
,0.001,0.0001,0.01,0.001,7,,,,,,,,,,,,,,,,,,,
0,,,,,7,261.89886474609375,,,,,34295.50390625,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006464020814746618
,0.001,0.0001,0.01,0.001,8,,,,,,,,,,,,,,,,,,,
0,,,,,8,274.21209716796875,,,,,37596.13671875,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007676718756556511
,0.001,0.0001,0.01,0.001,9,,,,,,,,,,,,,,,,,,,
0,,,,,9,26.995384216308594,,,,,364.3753967285156,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005455337930470705
,0.001,0.0001,0.01,0.001,10,,,,,,,,,,,,,,,,,,,
0,,,,,10,146.87843322753906,,,,,10786.6376953125,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004357398487627506
,0.001,0.0001,0.01,0.001,11,,,,,,,,,,,,,,,,,,,
0,,,,,11,328.91436767578125,,,,,54092.328125,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007541785016655922
,0.001,0.0001,0.01,0.001,12,,,,,,,,,,,,,,,,,,,
0,,,,,12,222.15826416015625,,,,,24677.1484375,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007686494383960962
,0.001,0.0001,0.01,0.001,13,,,,,,,,,,,,,,,,,,,
0,,,,,13,316.605224609375,,,,,50119.4296875,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004716290161013603
,0.001,0.0001,0.01,0.001,14,,,,,,,,,,,,,,,,,,,
0,,,,,14,132.75473022460938,,,,,8811.908203125,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004867259878665209
,0.001,0.0001,0.01,0.001,15,,,,,,,,,,,,,,,,,,,
0,,,,,15,242.4982147216797,,,,,29402.69140625,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005642082542181015
,0.001,0.0001,0.01,0.001,16,,,,,,,,,,,,,,,,,,,
0,,,,,16,369.3074951171875,,,,,68194.015625,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005512598901987076
,0.001,0.0001,0.01,0.001,17,,,,,,,,,,,,,,,,,,,
0,,,,,17,381.2167663574219,,,,,72663.109375,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006257547996938229
,0.001,0.0001,0.01,0.001,18,,,,,,,,,,,,,,,,,,,
0,,,,,18,44.64400863647461,,,,,996.5437622070312,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004261490423232317
,0.001,0.0001,0.01,0.001,19,,,,,,,,,,,,,,,,,,,
0,,,,,19,359.5191345214844,,,,,64627.00390625,,,40.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006327645853161812
