epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding.encoding.encoding,lr-Adam/geometry.encoding.encoding.encoding_time,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/grad_norm_cn,train/loss_mask,train/loss_rgb,train/loss_sd_3d,train/loss_sds_cn,train/loss_sds_video,train/max_step_3d,train/max_step_cn,train/min_step_3d,train/min_step_cn,train_params/lambda_3d_sd,train_params/lambda_cn_sds,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds_video,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
,0.001,0.0001,0.01,0.001,0,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,0,164.1611785888672,,14.910813331604004,,,,55.583091735839844,13474.4453125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008302849717438221
,0.001,0.0001,0.01,0.001,1,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,1,766.3357543945312,,29.106311798095703,,,,211.79434204101562,293635.25,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.010204650461673737
,0.001,0.0001,0.01,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,2,89.93391418457031,,22.683305740356445,,,,128.63308715820312,4044.05419921875,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006660487502813339
,0.001,0.0001,0.01,0.001,3,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,3,402.2607116699219,,27.14885139465332,,,,184.26502990722656,80906.8359375,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00836310163140297
,0.001,0.0001,0.01,0.001,4,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,4,60.41416931152344,,18.3138427734375,,,,83.84921264648438,1824.93603515625,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.010612038895487785
,0.001,0.0001,0.01,0.001,5,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,5,381.79522705078125,,21.738834381103516,,,,118.14422607421875,72883.796875,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009875230491161346
,0.001,0.0001,0.01,0.001,6,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,6,294.7668762207031,,27.88938331604004,,,,194.4544219970703,43443.7578125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009804630652070045
,0.001,0.0001,0.01,0.001,7,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,7,270.2316589355469,,24.475955963134766,,,,149.76809692382812,36512.578125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006540307775139809
,0.001,0.0001,0.01,0.001,8,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,8,487.4098815917969,,22.409255981445312,,,,125.54369354248047,118784.2109375,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009139232337474823
,0.001,0.0001,0.01,0.001,9,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,9,399.97283935546875,,17.135719299316406,,,,73.40821838378906,79989.140625,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00945613905787468
,0.001,0.0001,0.01,0.001,10,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,10,612.6880493164062,,42.81454849243164,,,,458.2713623046875,187693.3125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009351857006549835
,0.001,0.0001,0.01,0.001,11,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,11,229.35919189453125,,21.833250045776367,,,,119.17269897460938,26302.8203125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006528308615088463
,0.001,0.0001,0.01,0.001,12,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,12,773.0590209960938,,33.94584274291992,,,,288.080078125,298810.125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.010742730461061
,0.001,0.0001,0.01,0.001,13,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,13,9.03940200805664,,30.672969818115234,,,,235.207763671875,40.85539245605469,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007936054840683937
,0.001,0.0001,0.01,0.001,14,,,,,,,,,,,,,,,,,,,,,,,,
