epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding.encoding.encoding,lr-Adam/geometry.encoding.encoding.encoding_time,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/grad_norm_cn,train/loss_mask,train/loss_rgb,train/loss_sd_3d,train/loss_sds_cn,train/loss_sds_video,train/max_step_3d,train/max_step_cn,train/min_step_3d,train/min_step_cn,train_params/lambda_3d_sd,train_params/lambda_cn_sds,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds_video,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
,0.001,0.0001,0.01,0.001,0,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,0,187.8481903076172,,9.736895561218262,,,,23.701786041259766,17643.47265625,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005732194520533085
,0.001,0.0001,0.01,0.001,1,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,1,439.3401794433594,,19.355125427246094,,,,93.65521240234375,96509.890625,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007815644145011902
,0.001,0.0001,0.01,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,2,62.6677131652832,,13.739303588867188,,,,47.192115783691406,1963.62109375,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004601155873388052
,0.001,0.0001,0.01,0.001,3,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,3,293.3961181640625,,19.07050323486328,,,,90.9210205078125,43040.640625,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006070756819099188
,0.001,0.0001,0.01,0.001,4,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,4,33.13737869262695,,12.234663963317871,,,,37.421749114990234,549.04296875,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007678746245801449
,0.001,0.0001,0.01,0.001,5,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,5,262.27410888671875,,14.782676696777344,,,,54.63188171386719,34393.8515625,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006861892528831959
,0.001,0.0001,0.01,0.001,6,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,6,209.19522094726562,,19.03883934020996,,,,90.61935424804688,21881.3203125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0075006913393735886
,0.001,0.0001,0.01,0.001,7,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,7,366.07275390625,,17.173784255981445,,,,73.7347183227539,67004.6328125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004590507596731186
,0.001,0.0001,0.01,0.001,8,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,8,355.8195495605469,,15.708539962768555,,,,61.68955993652344,63303.7734375,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00757464487105608
,0.001,0.0001,0.01,0.001,9,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,9,268.4120178222656,,12.097164154052734,,,,36.58534240722656,36022.50390625,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006787470541894436
,0.001,0.0001,0.01,0.001,10,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,10,386.42559814453125,,26.151409149169922,,,,170.97406005859375,74662.3671875,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007265781052410603
,0.001,0.0001,0.01,0.001,11,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,11,338.3965759277344,,14.594474792480469,,,,53.24966812133789,57256.1171875,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004357575438916683
,0.001,0.0001,0.01,0.001,12,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,12,356.5133056640625,,21.524551391601562,,,,115.82658386230469,63550.86328125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008405018597841263
,0.001,0.0001,0.01,0.001,13,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,13,5.6681013107299805,,20.33724021911621,,,,103.40083312988281,16.06368637084961,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006313021294772625
,0.001,0.0001,0.01,0.001,14,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,14,261.9844970703125,,17.632890701293945,,,,77.7297134399414,34317.9375,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004704038612544537
,0.001,0.0001,0.01,0.001,15,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,15,256.055419921875,,17.730709075927734,,,,78.59451293945312,32782.19140625,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.005769721698015928
,0.001,0.0001,0.01,0.001,16,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,16,28.355710983276367,,25.104320526123047,,,,157.55670166015625,402.023193359375,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.004901191685348749
,0.001,0.0001,0.01,0.001,17,,,,,,,,,,,,,,,,,,,,,,,,
