epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding.encoding.encoding,lr-Adam/geometry.encoding.encoding.encoding_time,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/grad_norm_cn,train/loss_mask,train/loss_rgb,train/loss_sd_3d,train/loss_sds_cn,train/loss_sds_video,train/max_step_3d,train/max_step_cn,train/min_step_3d,train/min_step_cn,train_params/lambda_3d_sd,train_params/lambda_cn_sds,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds_video,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
,0.001,0.0001,0.01,0.001,0,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,0,171.56759643554688,,11.956913948059082,,,,35.741947174072266,14717.720703125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007896744646131992
,0.001,0.0001,0.01,0.001,1,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,1,893.4374389648438,,26.0821475982666,,,,170.06959533691406,399115.21875,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.00994315929710865
,0.001,0.0001,0.01,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,2,79.01383209228516,,16.637540817260742,,,,69.20193481445312,3121.5927734375,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0076769571751356125
,0.001,0.0001,0.01,0.001,3,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,3,438.95831298828125,,25.5209903717041,,,,162.8302459716797,96342.1953125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007778889965265989
,0.001,0.0001,0.01,0.001,4,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,4,28.60344123840332,,18.121604919433594,,,,82.09814453125,409.07843017578125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009527488611638546
,0.001,0.0001,0.01,0.001,5,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,5,461.0359802246094,,17.498809814453125,,,,76.55208587646484,106277.09375,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009278159588575363
,0.001,0.0001,0.01,0.001,6,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,6,266.8945007324219,,26.66324806213379,,,,177.732177734375,35616.33984375,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009768053889274597
,0.001,0.0001,0.01,0.001,7,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,7,573.9475708007812,,24.05508804321289,,,,144.66180419921875,164707.90625,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006889221258461475
,0.001,0.0001,0.01,0.001,8,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,8,438.54620361328125,,18.863933563232422,,,,88.96198272705078,96161.390625,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009834447875618935
,0.001,0.0001,0.01,0.001,9,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,9,465.8770751953125,,17.869388580322266,,,,79.82876586914062,108520.71875,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008566680364310741
,0.001,0.0001,0.01,0.001,10,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,10,619.4752197265625,,35.55924606323242,,,,316.1150207519531,191874.78125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009831972420215607
,0.001,0.0001,0.01,0.001,11,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,11,577.4947509765625,,20.258533477783203,,,,102.60205078125,166750.09375,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007500216830521822
,0.001,0.0001,0.01,0.001,12,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,12,573.8234252929688,,30.135662078857422,,,,227.03953552246094,164636.671875,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009727802127599716
,0.001,0.0001,0.01,0.001,13,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,13,5.623453617095947,,27.96913719177246,,,,195.5681610107422,15.811614036560059,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008225733414292336
,0.001,0.0001,0.01,0.001,14,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,14,316.69732666015625,,24.475589752197266,,,,149.76364135742188,50148.58984375,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006800295785069466
,0.001,0.0001,0.01,0.001,15,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,15,314.58367919921875,,25.624345779418945,,,,164.15176391601562,49481.4453125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007956949062645435
,0.001,0.0001,0.01,0.001,16,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,16,30.067724227905273,,33.05747985839844,,,,273.19921875,452.03399658203125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008020824752748013
,0.001,0.0001,0.01,0.001,17,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,17,20.82408332824707,,28.312381744384766,,,,200.39773559570312,216.82122802734375,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009223373606801033
,0.001,0.0001,0.01,0.001,18,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,18,63.49937057495117,,19.11882781982422,,,,91.38239288330078,2016.085205078125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009648565202951431
,0.001,0.0001,0.01,0.001,19,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,19,72.5743637084961,,17.9060001373291,,,,80.15620422363281,2633.51904296875,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.007914096117019653
,0.001,0.0001,0.01,0.001,20,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,20,105.97894287109375,,13.950952529907227,,,,48.65727233886719,5615.7685546875,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008219094946980476
,0.001,0.0001,0.01,0.001,21,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,21,668.5913696289062,,18.047237396240234,,,,81.42568969726562,223507.21875,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006638235412538052
,0.001,0.0001,0.01,0.001,22,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,22,151.19219970703125,,17.89081382751465,,,,80.02030181884766,11429.541015625,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006638818420469761
,0.001,0.0001,0.01,0.001,23,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,23,510.63287353515625,,32.25939178466797,,,,260.1671142578125,130372.9609375,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.010579077526926994
,0.001,0.0001,0.01,0.001,24,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,24,604.9525756835938,9.996233940124512,32.50775146484375,0.045523833483457565,0.013415406458079815,49.96234893798828,264.1885070800781,182983.8125,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.010440001264214516
,0.001,0.0001,0.01,0.001,25,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,25,449.7110595703125,9.996233940124512,28.883434295654297,0.045523833483457565,0.013415406458079815,49.96234893798828,208.56320190429688,101120.015625,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.009975222870707512
,0.001,0.0001,0.01,0.001,26,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,26,72.96366119384766,9.996233940124512,29.0534610748291,0.045523833483457565,0.013415406458079815,49.96234893798828,211.02590942382812,2661.84765625,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.006739571690559387
,0.001,0.0001,0.01,0.001,27,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,27,615.4918212890625,9.996233940124512,17.254133224487305,0.045523833483457565,0.013415406458079815,49.96234893798828,74.42628479003906,189415.09375,600.0,980.0,200.0,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.008515839464962482
,0.001,0.0001,0.01,0.001,28,,,,,,,,,,,,,,,,,,,,,,,,
