epoch,lr-Adam/geometry.density_network,lr-Adam/geometry.encoding.encoding.encoding,lr-Adam/geometry.encoding.encoding.encoding_time,lr-Adam/geometry.feature_network,step,train/grad_norm,train/grad_norm_3d,train/grad_norm_cn,train/loss_mask,train/loss_rgb,train/loss_sd_3d,train/loss_sds_cn,train/loss_sds_video,train/max_step_3d,train/max_step_cn,train/min_step_3d,train/min_step_cn,train_params/lambda_3d_sd,train_params/lambda_cn_sds,train_params/lambda_mask,train_params/lambda_normal_smoothness_2d,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_rgb,train_params/lambda_sds_video,train_params/lambda_sparsity,train_params/lambda_tv,train_params/lambda_z_variance,trian/loss_normal_smoothness_2d
,0.001,0.0001,0.01,0.001,0,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,0,164.40103149414062,,10.800376892089844,,,,29.162033081054688,13513.849609375,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.017712270841002464
,0.001,0.0001,0.01,0.001,1,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,1,224.46286010742188,,20.815021514892578,,,,108.3162841796875,25191.7890625,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.02111148089170456
,0.001,0.0001,0.01,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,2,61.415958404541016,,18.3550968170166,,,,84.22738647460938,1885.9600830078125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.015232410281896591
,0.001,0.0001,0.01,0.001,3,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,3,257.80279541015625,,18.853065490722656,,,,88.85951232910156,33231.140625,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.018051134422421455
,0.001,0.0001,0.01,0.001,4,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,4,26.055442810058594,,16.11329460144043,,,,64.90957641601562,339.4430236816406,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.02141318842768669
,0.001,0.0001,0.01,0.001,5,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,5,244.7599639892578,,14.439950942993164,,,,52.1280517578125,29953.71875,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.01704999804496765
,0.001,0.0001,0.01,0.001,6,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,6,120.96086883544922,,20.420562744140625,,,,104.24984741210938,7315.76611328125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.017952315509319305
,0.001,0.0001,0.01,0.001,7,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,7,425.697265625,,18.282470703125,,,,83.56218719482422,90609.078125,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.01455753669142723
,0.001,0.0001,0.01,0.001,8,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,8,233.5184326171875,,15.335786819458008,,,,58.79658889770508,27265.4296875,,980.0,,20.0,40.0,3.0,100.0,1000.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.01661786623299122
,0.001,0.0001,0.01,0.001,9,,,,,,,,,,,,,,,,,,,,,,,,
